speed,direction,direction_disp,x,y
5.441,4.96,280.47,218.72,25.799
8.3815,5.1799,290.5,218.78,26.12
9.124,5.3458,300.64,218.95,26.591
6.1465,5.4429,305.56,219.23,27.062
6.2121,5.4378,280.99,219.45,27.362
3.6771,5.0188,277.55,219.52,27.728
2.1656,3.8284,257.12,219.55,27.946
1.7759,2.4332,222.17,219.52,28.073
4.6683,0.48784,247.33,219.44,28.145
6.5332,358.2,304.82,219.33,28.403
10.793,355.28,278.63,219.55,28.725
14.257,352.09,280.8,219.65,29.365
20.192,348.81,290.45,219.81,30.205
23.249,344.86,296.78,220.23,31.34
23.674,341.72,306.99,220.86,32.586
28.418,339.19,310.03,221.72,33.72
33.019,336.49,313.6,222.81,35.026
41.562,333.21,318.23,224.18,36.461
37.127,329.94,322.18,226.04,38.122
45.569,327.5,320.51,227.8,39.488
50.636,324.51,323.15,229.91,41.227
52.719,322.17,319.38,232.34,43.049
54.381,318.41,317.42,234.74,45.108
59.738,313.46,316,237.15,47.315
61.998,308.41,318.24,239.72,49.805
63.77,303.68,317.8,242.5,52.283
65.648,299.2,319.5,245.33,54.853
69.978,294.86,317.79,248.33,57.411
70.721,290.51,318.42,251.44,60.232
73.909,285.71,315.98,254.61,63.048
68.872,280.76,315.99,257.8,66.13
67.457,277.23,314.46,260.77,69.001
62.095,275.02,313.58,263.61,71.89
61.669,273.97,312.53,266.18,74.589
61.75,275.5,312.83,268.68,77.315
60.275,280.13,310.85,271.2,80.033
57.227,288.12,309.79,273.56,82.768
55.269,301.64,309.13,275.76,85.407
60.345,322.03,302.94,277.85,87.979
57.484,338.84,303.57,279.82,91.018
56.298,358.28,301.19,281.73,93.892
55.959,12.511,298.36,283.48,96.781
56.508,23.105,294.42,285.07,99.736
57.902,30.602,290.53,286.47,102.82
58.023,35.87,290.68,287.69,106.08
57.114,37.299,292.8,288.92,109.33
59.75,35.466,290.96,290.25,112.49
59.96,32.995,289.57,291.53,115.84
53.276,30.203,293.15,292.74,119.23
50.338,34.287,294.45,293.99,122.17
54.031,41.145,293,295.24,124.92
50.331,42.78,295.92,296.51,127.9
49.246,41.039,298.97,297.83,130.62
44.257,30.847,303.66,299.26,133.2
46.629,9.211,300.01,300.73,135.41
43.636,307.83,301.82,302.13,137.84
40.692,285.3,303.88,303.51,140.06
37.809,278.48,306.27,304.87,142.09
37.252,277.33,304.5,306.22,143.92
34.486,279.64,305,307.48,145.76
33.289,280.75,305.31,308.67,147.45
28.009,283.43,307.8,309.82,149.08
23.745,289.45,312.62,310.85,150.41
19.546,297.47,319.35,311.82,151.46
17.15,308.81,306.43,312.71,152.22
17.965,336.61,289.95,313.32,153.05
13.321,0.22251,286.31,313.69,154.07
13.988,11.782,269.62,313.91,154.83
19.273,21.066,263.97,313.91,155.67
15.62,27.711,252.14,313.78,156.82
10.139,45.516,243.49,313.5,157.71
9.9127,77.255,259.36,313.23,158.26
12.967,87.411,247.65,313.12,158.84
20.738,93.03,232.14,312.82,159.56
22.927,101.36,209.66,312.06,160.54
24.207,108.63,200.9,310.86,161.23
26.561,116.67,199.19,309.5,161.74
28.934,125.14,197.76,308,162.27
30.526,135.8,195.27,306.35,162.8
32.181,150.27,197.06,304.58,163.28
32.876,160.88,196.84,302.73,163.85
33.569,167.63,203.01,300.84,164.42
