linreg_spikes,knn_spikes,rf_spikes,LSTM_spikes,linreg_sents,knn_sents,rf_sents,LSTM_sents
21.18960362,14.45621704,10.44054674,4.58825316,17.89419001,13.37699342,5.046293363,4.253320192
20.18500584,13.89606954,10.12208779,4.042021858,17.17977059,12.8496834,4.887069652,4.680279408
20.87564398,14.26873829,10.5785204,4.324818998,17.897599,13.33160341,5.015657651,4.505535377
21.36454085,14.54303836,10.65349211,4.319640638,18.00667664,13.36731777,5.051578343,4.56025592
20.77109778,14.59445916,10.5095741,3.573460964,17.79395024,13.31018006,5.06859437,4.20533506
21.05247344,14.4991319,10.74452587,4.414337713,18.13248953,13.45742711,5.070567273,4.469023299
20.83440162,14.51474367,10.56500594,5.844950626,17.8694781,13.41755858,5.028355871,4.872251665
20.98632033,14.35586175,10.54405945,3.600921125,18.04952009,13.41507792,5.011511195,4.799733381
20.95925482,14.45586082,10.5583807,4.081848836,17.81954613,13.17144999,5.044768852,4.807199781
20.96474849,14.38680828,10.60979472,3.789544548,17.98863493,13.42802993,5.149488155,4.238771446
